Year,Month,DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,CRSDepTime,DepDelay,DepDel15,CRSArrTime,ArrDelay,ArrDel15,Cancelled
2013,4,18,4,DL,10821,10397,1515,136.0,1.0,1710,127.0,1,0
2013,4,18,4,DL,11697,10397,900,-4.0,0.0,1050,-1.0,0,0
2013,4,18,4,DL,10397,11697,1906,-1.0,0.0,2100,-16.0,0,0
2013,4,18,4,DL,13204,11433,825,-1.0,0.0,1107,-11.0,0,0
2013,4,18,4,DL,10397,14747,2150,10.0,0.0,19,0.0,0,0
2013,4,18,4,DL,12953,11433,1737,-5.0,0.0,1944,-9.0,0,0
2013,4,18,4,DL,12892,14869,1800,1.0,0.0,2051,-3.0,0,0
2013,4,18,4,DL,13487,14869,1715,51.0,1.0,1909,75.0,1,0
2013,4,18,4,DL,12892,13495,915,18.0,1.0,1453,9.0,0,0
2013,4,18,4,DL,11433,14869,1225,205.0,1.0,1428,190.0,1,0
2013,4,18,4,DL,13487,13342,1930,139.0,1.0,2041,171.0,1,0
2013,4,18,4,DL,10397,11278,1220,-3.0,0.0,1405,-1.0,0,0
2013,4,18,4,DL,11278,10397,1159,-5.0,0.0,1349,-10.0,0,0
2013,4,18,4,DL,11433,11298,1226,-3.0,0.0,1420,19.0,1,0
2013,4,18,4,DL,11298,11433,1455,74.0,1.0,1831,78.0,1,0
2013,4,18,4,DL,10397,11618,730,-1.0,0.0,946,-22.0,0,0
2013,4,18,4,DL,11618,10397,1030,-7.0,0.0,1248,3.0,0,0
2013,4,18,4,DL,11433,11057,1010,-3.0,0.0,1200,1.0,0,0
2013,4,18,4,DL,11057,11433,1242,-3.0,0.0,1437,-8.0,0,0
2013,4,18,4,DL,11193,12889,2030,27.0,1.0,2147,8.0,0,0
2013,4,18,4,DL,12889,11193,2340,-1.0,0.0,624,-4.0,0,0
2013,4,18,4,DL,12953,10397,1459,-1.0,0.0,1737,-26.0,0,0
2013,4,18,4,DL,14869,11433,850,4.0,0.0,1424,10.0,0,0
2013,4,18,4,DL,10397,14771,1456,12.0,0.0,1722,17.0,1,0
2013,4,18,4,DL,10397,12478,825,0.0,0.0,1038,-3.0,0,0
2013,4,18,4,DL,10397,14492,735,-2.0,0.0,859,-10.0,0,0
2013,4,18,4,DL,14492,10397,945,-6.0,0.0,1112,-9.0,0,0
2013,4,18,4,DL,14635,10397,815,-6.0,0.0,1005,-21.0,0,0
2013,4,18,4,DL,14869,12478,1348,0.0,0.0,2018,42.0,1,0
2013,4,18,4,DL,10397,12892,2145,-4.0,0.0,2355,-10.0,0,0
2013,4,18,4,DL,14027,12953,815,-4.0,0.0,1114,-19.0,0,0
2013,4,18,4,DL,11278,14869,730,1.0,0.0,1018,3.0,0,0
2013,4,18,4,DL,14869,11278,1655,5.0,0.0,2259,-6.0,0,0
2013,4,18,4,DL,10397,11066,1747,-4.0,0.0,1918,-4.0,0,0
2013,4,18,4,DL,12892,12478,1630,-5.0,0.0,45,-12.0,0,0
2013,4,18,4,DL,12478,12892,2100,37.0,1.0,32,17.0,1,0
